dth_max_T,dth_max_phase_T,dth_min_T,dth_min_phase_T,dth_min_phase_T,dth_average_T,dth_average_after_min
0.101129363,0.002617801,0.442857143,0.403846154,0.250692521,0.306927138,0.294261639
0.932238193,0.028795812,0.663265306,0.211538462,0.998614958,0.595683557,0.267763958
0.146303901,0.028795812,0.679591837,0.980769231,0.084487535,0.757604051,0.815413782
0.117556468,0.002617801,0.442857143,0.980769231,0.250692521,0.221998779,0.368281964
0.878336756,0.028795812,0.408163265,0.211538462,0.998614958,0.424821345,0.146209749
0.111396304,0.028795812,0.4,0.980769231,0.084487535,0.614069738,0.766926148
0.103182752,0.002617801,0.540816327,0.403846154,0.001385042,0.404675549,0.36200245
0.944558522,0.028795812,0.646938776,0.211538462,0.915512465,0.604050706,0.273317439
0.136036961,0.081151832,0.432653061,0.980769231,0.084487535,0.626243401,0.733375463
0.082135524,0.002617801,0.342857143,0.980769231,0.333795014,0.182999964,0.340303909
0.878336756,0.028795812,0.687755102,0.788461538,0.832409972,0.557115668,0.358165327
0.138090349,0.054973822,0.424489796,0.019230769,0.084487535,0.60225518,0.480906558
0.101129363,0.002617801,0.391836735,0.403846154,0.167590028,0.277049592,0.251199265
0.909137577,0.028795812,0.483673469,0.211538462,0.832409972,0.504291306,0.213761143
0.133983573,0.081151832,0.524489796,0.980769231,0.084487535,0.652350343,0.791859363
0.107289528,0.002617801,0.442857143,0.403846154,0.167590028,0.294178906,0.270882067
0.900924025,0.028795812,0.432653061,0.211538462,0.749307479,0.501562107,0.21759113
0.133983573,0.028795812,0.475510204,0.019230769,0.084487535,0.645168241,0.50361072
0.10523614,0.002617801,0.424489796,0.403846154,0.250692521,0.293999354,0.269832983
0.9137577,0.028795812,0.451020408,0.211538462,0.832409972,0.49050167,0.195233581
0.127823409,0.081151832,0.475510204,0.980769231,0.084487535,0.647646066,0.774279723
0.109342916,0.002617801,0.408163265,0.403846154,0.250692521,0.254892807,0.243855681
0.900924025,0.028795812,0.459183673,0.211538462,0.915512465,0.500017955,0.216920882
0.14835729,0.081151832,0.614285714,0.019230769,0.084487535,0.715983768,0.548559446
0.103182752,0.002617801,0.475510204,0.403846154,0.250692521,0.277803713,0.259392106
0.888603696,0.028795812,0.5,0.211538462,0.915512465,0.487449276,0.19700495
0.11550308,0.028795812,0.383673469,0.980769231,0.084487535,0.56925342,0.717059719
0.082135524,0.002617801,0.326530612,0.403846154,0.084487535,0.255754659,0.255295685
0.911190965,0.028795812,0.483673469,0.211538462,0.749307479,0.528566812,0.227884219
0.131930185,0.054973822,0.375510204,0.980769231,0.084487535,0.588142349,0.737741648
0.067761807,0.002617801,0.565306122,0.403846154,0.084487535,0.371889252,0.320888374
