MFB50,IMEP,Pmax
9,8.895134926,44.077
9,8.895134926,44.077
10.25,8.679990768,43.328
25.75,7.991107941,26.776
4,8.766219139,50.713
8,8.949774742,46.763
20,8.490920067,33.915
13,8.561127663,39.878
8.25,8.7093153,45.515
20.5,8.467398643,31.741
7,8.965452194,47.856
15.75,8.568558693,35.765
18,8.679083824,36.108
10.5,8.807237625,42.909
6,8.826612473,47.705
19,8.408597946,32.953
9.75,8.85411644,44.078
5.75,8.861801147,49.202
20.25,8.520319939,31.875
9.75,8.772079468,42.6
7.25,8.879396439,47.454
21,8.385077477,30.779
8,8.930293083,45.075
6,8.83247757,48.415
23.25,8.208672523,29.952
7.5,8.742780685,45.537
7.25,8.715180397,46.879
18.75,8.590882301,34.05
10.25,8.818957329,44.192
8,8.861801147,46.936
17.5,8.649682999,35.838
15.75,8.502530098,35.735
12.75,8.932179451,40.795
14,8.855487823,40.437
9.25,8.830677032,44.231
13,8.592018127,40.181
17,8.667324066,35.224
8.25,8.936152458,46.974
9,8.97909832,46.879
15.75,8.79080677,37.111
12.5,8.713481903,40.548
5.75,8.627206802,46.937
19.75,8.44975853,33.837
9,8.777938843,44.863
8.5,8.855937004,46.286
21.25,8.543840408,31.624
6.75,9.088506699,49.352
8,8.938044548,47.09
21.5,8.520319939,31.279
5.5,8.965452194,50.694
7,8.797287941,46.437
17.75,8.679083824,34.743
10.25,8.85411644,44.116
8,8.96736908,45.843
22.25,8.432118416,30.931
12.5,8.678322792,40.549
5,8.633071899,49.105
26.75,8.049909592,26.275
5.75,8.936152458,49.429
12,8.814882278,42.789
19,8.55560112,32.915
7.75,8.64902401,44.865
4.5,8.914585114,50.564
20.25,8.502679825,32.01
9.25,8.912714005,45.036
5.75,8.850071907,49.412
18,8.567361832,33.799
9.25,8.695901871,44.059
7,8.785558701,48.317
18.75,8.549720764,35.128
11,8.930293083,43.367
9.75,8.773828506,44.442
20.25,8.502679825,32.645
7,8.953732491,48.719
7,8.873531342,46.86
24.25,8.214552879,28.006
5.25,8.912714005,50.483
11.25,8.891125679,42.771
19,8.608522415,33.588
6.75,9.000610352,47.855
6.5,8.762099266,48.28
20,8.667324066,33.357
6.75,8.766219139,47.989
5,9.090531349,50.948
16,8.70848465,38.014
10.25,8.555267334,42.237
10.5,8.891125679,43.251
17,8.673203468,36.339
12,8.807237625,41.316
6,8.826612473,48.491
18,8.608522415,34.974
5.5,8.971311569,49.677
12.5,8.855937004,40.814
20,8.620282173,33.8
